PLAYER,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,GP,Date
Eric Gordon,2.1500000000000004,15.049999999999997,1.9500000000000002,3.1500000000000004,0.6000000000000001,0.39999999999999997,0.5500000000000002,5.449999999999999,12.049999999999999,1.8499999999999996,2.1500000000000004,1.0,2022-01-13
Eric Paschall,0.04411764705882353,4.529411764705882,1.6294117647058826,0.7852941176470587,0.28529411764705886,0.1,0.6852941176470587,2.0705882352941174,4.98235294117647,0.2588235294117646,0.5588235294117647,1.0,2022-01-13
Eugene Omoruyi,0.5285714285714286,3.742857142857143,2.6,0.5,0.0,0.0,0.0,1.0714285714285714,2.1,1.0714285714285714,2.142857142857143,1.0,2022-01-13
Evan Fournier,1.7666666666666666,15.7,3.1333333333333333,2.2666666666666666,0.6666666666666666,0.3,1.7666666666666666,5.366666666666666,11.2,3.433333333333333,4.066666666666666,1.0,2022-01-13
Evan Mobley,0.8060606060606059,14.290909090909087,9.318181818181818,2.2939393939393935,1.206060606060606,2.106060606060606,1.190909090909091,5.693939393939395,12.406060606060606,2.1999999999999997,2.4909090909090907,1.0,2022-01-13
Facundo Campazzo,1.6171428571428568,9.420000000000002,1.5742857142857136,5.460000000000001,1.3085714285714283,0.08285714285714281,0.7828571428571428,3.3514285714285723,7.2685714285714305,0.9914285714285717,1.1914285714285717,1.0,2022-01-13
Frank Jackson,2.1222222222222222,12.922222222222224,1.5,2.011111111111111,0.2777777777777778,0.19999999999999998,1.2444444444444442,4.366666666666666,9.644444444444446,1.9666666666666668,2.0444444444444443,1.0,2022-01-13
Frank Kaminsky,0.9870967741935485,7.7612903225806456,5.116129032258065,2.303225806451613,0.25483870967741934,0.4129032258064516,0.6000000000000001,2.967741935483871,6.65483870967742,0.8387096774193549,1.4258064516129034,1.0,2022-01-13
Frank Ntilikina,-5.199999999999999,31.799999999999983,4.5,4.5,0.6999999999999993,-2.9,-5.400000000000002,13.699999999999996,40.599999999999994,9.599999999999998,0.5999999999999979,1.0,2022-01-13
Franz Wagner,1.3,20.85,5.95,3.8000000000000003,1.0,0.25,1.0,7.6499999999999995,16.6,3.85,4.6,1.0,2022-01-13
Fred VanVleet,4.2,27.0,5.5,7.0,1.7,0.5,3.1,9.0,19.1,4.9,5.5,1.0,2022-01-13
Freddie Gillespie,0.0,7.1000000000000005,1.7999999999999996,-0.19999999999999993,0.5,0.19999999999999987,0.10000000000000003,2.7999999999999994,5.000000000000002,1.5,1.5999999999999999,1.0,2022-01-13
Furkan Korkmaz,0.8914285714285715,7.474285714285713,2.6942857142857144,2.2000000000000006,0.6000000000000001,0.3028571428571429,1.0028571428571427,2.894285714285714,7.89142857142857,1.302857142857143,1.7057142857142855,1.0,2022-01-13
Gabe Vincent,1.8942857142857146,10.159999999999998,2.488571428571428,1.9285714285714282,0.9942857142857142,0.3942857142857142,1.3057142857142854,3.782857142857142,8.948571428571427,0.6999999999999998,0.9000000000000001,1.0,2022-01-13
Gabriel Deck,-0.060000000000000005,0.62,0.42,0.46,-0.02,0.0,-0.060000000000000005,0.37999999999999995,2.0,-0.060000000000000005,-0.060000000000000005,1.0,2022-01-13
